"des_plan","anio_apertura_expediente","abandona","convocatoria_acceso","des_acceso","sexo","municipio","anio_nacimiento_interval","1st_model","scholarship","cum_absent_ratio","cum_pass_ratio","nota_admision_def"
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"S",0.2857142857142857,0.4285714285714285,7.136
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","AZUAGA","(1990.0, 1995.0]",0,"S",0.3333333333333333,0.6666666666666666,7.044
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0,0.7142857142857143,8.322
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","LOS SANTOS DE MAIMONA","(1990.0, 1995.0]",0,"N",0.3333333333333333,0.3333333333333333,6.172
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","FUENTE DEL MAESTRE","(1990.0, 1995.0]",0,"S",0.125,0.5,7.676
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","FUENTE DEL MAESTRE","(1990.0, 1995.0]",0,"S",0,0.8333333333333334,7.446
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","SOLANA DE LOS BARROS","(1990.0, 1995.0]",0,"S",0.2222222222222222,0.3333333333333333,6.69
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"S",0.2857142857142857,0.4285714285714285,7.092
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","D","CÁCERES","(1990.0, 1995.0]",0,"N",0.125,0.25,6.97
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","D","PLASENCIA","(1985.0, 1990.0]",1,"S",0.3333333333333333,0.6666666666666666,6.114
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","PALMA DEL RÍO","(1990.0, 1995.0]",0,"N",0.25,0.5,5.828
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"S",0,1,7.858
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","JUN","Selectividad","D","BERZOCANA","(1990.0, 1995.0]",0,"S",0.2222222222222222,0.1111111111111111,6.124
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","JUN","Selectividad","D","HERRERA DEL DUQUE","(1990.0, 1995.0]",0,"N",0.25,0.375,7.118
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","SEP","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.6,0.1,5.35
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.5,0.3333333333333333,5.35
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","SEP","Selectividad","H","PLASENCIA","(1990.0, 1995.0]",1,"N",0.125,0.375,5.47
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","SEP","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.1111111111111111,0.2222222222222222,6.392
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","SEP","Selectividad","D","CÁCERES","(1990.0, 1995.0]",1,"N",0.1111111111111111,0.3333333333333333,5.832
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","BADAJOZ","(1985.0, 1990.0]",0,"N",1,0,6.69
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","1","JUN","Selectividad","H","ESTELLA-LIZARRA","(1985.0, 1990.0]",1,"N",1,0,5.55
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","SEP","Selectividad","H","PLASENCIA","(1990.0, 1995.0]",1,"N",0.9,0,5.736
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.1111111111111111,0.3333333333333333,6.765
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","D","CÁCERES","(1990.0, 1995.0]",0,"N",0.125,0.375,6.826
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.25,0.25,7.482
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","D","ARROYO DE SAN SERVÁN","(1990.0, 1995.0]",1,"S",0,0.375,8.146
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","VILLANUEVA DE LA SERENA","(1990.0, 1995.0]",1,"S",0.2857142857142857,0.5714285714285714,7.285
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CASAR DE CÁCERES","(1990.0, 1995.0]",0,"N",0.2857142857142857,0.5714285714285714,7.71
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","FREGENAL DE LA SIERRA","(1990.0, 1995.0]",1,"S",0.3333333333333333,0.6666666666666666,7.304
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CÁDIZ","(1990.0, 1995.0]",1,"N",0.375,0.5,6.761
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.1428571428571428,0.5714285714285714,7.31
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","ANDOAIN","(1990.0, 1995.0]",1,"S",0.25,0.375,8.186
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"S",0.4,0,7.422
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.25,0.5,7.11
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","D","CORIA","(1990.0, 1995.0]",1,"N",0.2222222222222222,0.2222222222222222,6.206
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","D","MORALEJA","(1990.0, 1995.0]",0,"S",0.3333333333333333,0.2222222222222222,7.4
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","LOGROSÁN","(1990.0, 1995.0]",1,"S",0.1428571428571428,0.4285714285714285,6.644
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.375,0.375,5.578
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","0","JUN","Selectividad","H","LEÓN","(1985.0, 1990.0]",1,"N",0.1428571428571428,0.7142857142857143,5.93
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","PLASENCIA","(1990.0, 1995.0]",1,"S",0.25,0.25,6.422
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","CILLEROS","(1990.0, 1995.0]",1,"S",0.5555555555555556,0.1111111111111111,5.54
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","D","SIERRA DE FUENTES","(1990.0, 1995.0]",1,"S",0,0.4285714285714285,5.55
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Formación Profesional","H","CÁCERES","(1985.0, 1990.0]",1,"S",0.375,0.5,7.14
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","TORREMOCHA","(1990.0, 1995.0]",1,"S",0.2222222222222222,0.1111111111111111,5.424
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","CORIA","(1990.0, 1995.0]",1,"S",0.7,0,5.65
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","JUN","Selectividad","H","CÁDIZ","(1990.0, 1995.0]",1,"N",0.3333333333333333,0.2222222222222222,5.279
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",1,0,6.47
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.4166666666666667,0.1666666666666666,6.13
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","CÁCERES","(1980.0, 1985.0]",0,"N",0.75,0,7.38
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","JUN","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.7272727272727273,0.0909090909090909,5.61
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","JUN","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.3333333333333333,0.2222222222222222,5.87
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","JUN","Selectividad","H","SAN VICENTE DE ALCÁNTARA","(1985.0, 1990.0]",1,"N",0.5714285714285714,0.1428571428571428,5.95
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","SEP","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.3,0,6.014
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2011-12","1","SEP","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.5,0,8.608
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","H","CORIA","(1990.0, 1995.0]",0,"S",0.25,0.375,7.218
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","D","CÁCERES","(1990.0, 1995.0]",0,"N",0.375,0.25,8.024
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","D","SEVILLA","(1990.0, 1995.0]",1,"S",0.3333333333333333,0.6666666666666666,7.626
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.1428571428571428,0.4285714285714285,6.168
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0.5,0,7.65
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","LA HABA","(1990.0, 1995.0]",0,"S",0.3333333333333333,0.6666666666666666,11.772
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","MÉRIDA","(1990.0, 1995.0]",0,"N",0.3,0.2,7.019
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","CÁDIZ","(1990.0, 1995.0]",0,"N",0.5555555555555556,0.1111111111111111,6.963
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","D","MEDELLÍN","(1990.0, 1995.0]",0,"S",0.3,0.1,6.182
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","CASTUERA","(1990.0, 1995.0]",0,"N",0.6,0,6.722
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","PLASENCIA","(1990.0, 1995.0]",1,"N",0.2222222222222222,0.1111111111111111,5.4
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Formación Profesional","H","SANTIAGO DE ALCÁNTARA","(1990.0, 1995.0]",0,"S",0.6666666666666666,0.1111111111111111,8.36
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","SEP","Selectividad","H","MEDELLÍN","(1990.0, 1995.0]",1,"N",0.5454545454545454,0.1818181818181818,5.422
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","SEP","Selectividad","H","CORIA","(1990.0, 1995.0]",1,"N",0.25,0.5,5.624
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","D","SEGOVIA","(1990.0, 1995.0]",0,"S",0.3333333333333333,0.2222222222222222,5.846
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0.6,0,7.372
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","H","OLIVENZA","(1990.0, 1995.0]",1,"S",0.25,0.375,5.592
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","H","MÉRIDA","(1990.0, 1995.0]",0,"S",0.2857142857142857,0.5714285714285714,10.508
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",0,"S",0.25,0.5,9.396
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0,0.4285714285714285,7.594
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","CAMPANARIO","(1990.0, 1995.0]",0,"S",0.2222222222222222,0.1111111111111111,8.422
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0.2222222222222222,0.4444444444444444,8.192
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","SEP","Selectividad","D","BADAJOZ","(1990.0, 1995.0]",1,"N",0.5833333333333334,0,5.29
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.4,0,5.164
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","SEP","Selectividad","D","BADAJOZ","(1990.0, 1995.0]",1,"N",0.3,0.1,5.882
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","SEP","Selectividad","H","LOS SANTOS DE MAIMONA","(1990.0, 1995.0]",1,"S",0.2222222222222222,0.1111111111111111,6.174
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","JUN","Selectividad","H","VILLANUEVA DE LA SERENA","(1990.0, 1995.0]",0,"N",0.75,0,7.49
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","SEP","Selectividad","H","MÉRIDA","(1985.0, 1990.0]",1,"N",0.6666666666666666,0.1111111111111111,5.636
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.6,0.1,6.808
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","SEP","Selectividad","H","VILLANUEVA DE LA SERENA","(1990.0, 1995.0]",1,"N",0.3333333333333333,0.2222222222222222,6.328
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.4444444444444444,0.1111111111111111,6.01
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.5555555555555556,0.1111111111111111,5.174
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","0","SEP","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.5,0.375,5.14
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2012-13","1","JUN","Selectividad","H","NAVALVILLAR DE PELA","(1985.0, 1990.0]",1,"N",0.8,0.1,5.22
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","H","MADRIGALEJO","(1990.0, 1995.0]",0,"N",0.3333333333333333,0.1111111111111111,6.606
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0.1111111111111111,0.1111111111111111,8.168
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","JUN","Selectividad","H","ALMENDRALEJO","(1990.0, 1995.0]",0,"S",0.375,0.375,8.718
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"S",0.5555555555555556,0.1111111111111111,9.19
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","JUN","Selectividad","H","ARROYO DE LA LUZ","(1990.0, 1995.0]",0,"S",0.25,0.375,8.744
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","JUN","Selectividad","H","LA ZARZA","(1990.0, 1995.0]",0,"N",0.3333333333333333,0.6666666666666666,9.382
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","D","MÉRIDA","(1990.0, 1995.0]",0,"N",0.7,0,5.546
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","JUN","Selectividad","H","CAMPANARIO","(1990.0, 1995.0]",0,"S",0.3333333333333333,0.6666666666666666,7.86
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","JUN","Selectividad","D","GUAREÑA","(1990.0, 1995.0]",0,"S",0.25,0.25,7.142
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","H","CAMPANARIO","(1990.0, 1995.0]",0,"S",0.2857142857142857,0.5714285714285714,8.132
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","JUN","Selectividad","H","CAMPANARIO","(1990.0, 1995.0]",0,"S",0.2857142857142857,0.5714285714285714,7.318
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","H","JARAÍZ DE LA VERA","(1990.0, 1995.0]",1,"S",0.2222222222222222,0.3333333333333333,6.39
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","H","CALAMONTE","(1990.0, 1995.0]",1,"N",0.3333333333333333,0.3333333333333333,6.836
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","H","JARAÍZ DE LA VERA","(1990.0, 1995.0]",1,"N",0.3,0.1,6.414
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"S",0.4,0.1,7.128
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"S",0.1666666666666666,0.6666666666666666,11.16
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","JUN","Selectividad","D","NAVALMORAL DE LA MATA","(1990.0, 1995.0]",0,"N",0,0.6666666666666666,10.032
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.25,0.5,6.176
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","H","CASAR DE CÁCERES","(1990.0, 1995.0]",0,"N",0.25,0.375,8.528
